x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
426.9080,-1748.3406,7.0400,7.0600,0.0000
426.8382,-1744.3362,7.0400,7.0600,0.0000
426.7685,-1740.3318,7.0400,7.0600,0.0000
426.6987,-1736.3274,7.0400,7.0600,0.0000
426.6290,-1732.3230,7.0400,7.0600,0.0000
426.5592,-1728.3187,7.0400,7.0600,0.0000
426.4895,-1724.3143,7.0400,7.0600,0.0000
426.4197,-1720.3099,7.0400,7.0600,0.0000
426.3500,-1716.3055,7.0400,7.0600,0.0000
426.2802,-1712.3011,7.0400,7.0600,0.0000
426.2105,-1708.2967,7.0400,7.0600,0.0000
426.1407,-1704.2923,7.0400,7.0600,0.0000
426.0710,-1700.2879,7.0400,7.0600,0.0000
426.0012,-1696.2835,7.0400,7.0600,0.0000
425.9315,-1692.2791,7.0400,7.0600,0.0000
425.8617,-1688.2748,7.0400,7.0600,0.0000
425.7919,-1684.2704,7.0400,7.0600,0.0000
425.7222,-1680.2660,7.0400,7.0600,0.0000
425.6524,-1676.2616,7.0400,7.0600,0.0000
425.5827,-1672.2572,7.0400,7.0600,0.0000
425.5129,-1668.2528,7.0400,7.0600,0.0000
425.4432,-1664.2484,7.0400,7.0600,0.0000
425.3734,-1660.2440,7.0400,7.0600,0.0000
425.3037,-1656.2396,7.0400,7.0600,0.0000
425.2339,-1652.2352,7.0400,7.0600,0.0000
425.1642,-1648.2309,7.0400,7.0600,0.0000
425.0944,-1644.2265,7.0400,7.0600,0.0000
425.0247,-1640.2221,7.0400,7.0600,0.0000
424.9549,-1636.2177,7.0400,7.0600,0.0000
424.8852,-1632.2133,7.0400,7.0600,0.0000
424.8154,-1628.2089,7.0400,7.0600,0.0000
424.7457,-1624.2045,7.0400,7.0600,0.0000
424.6759,-1620.2001,7.0400,7.0600,0.0000
424.6062,-1616.1957,7.0400,7.0600,0.0000
424.5364,-1612.1913,7.0400,7.0600,0.0000
424.4666,-1608.1870,7.0400,7.0600,0.0000
424.3969,-1604.1826,7.0400,7.0600,0.0000
424.3271,-1600.1782,7.0400,7.0600,0.0000
424.2574,-1596.1738,7.0400,7.0600,0.0000
424.1876,-1592.1694,7.0400,7.0600,0.0000
424.1179,-1588.1650,7.0400,7.0600,0.0000
424.0481,-1584.1606,7.0400,7.0600,0.0000
423.9784,-1580.1562,7.0400,7.0600,0.0000
423.9086,-1576.1518,7.0400,7.0600,0.0000
423.8389,-1572.1474,7.0400,7.0600,0.0000
423.7691,-1568.1431,7.0400,7.0600,0.0000
423.6994,-1564.1387,7.0400,7.0600,0.0000
423.6296,-1560.1343,7.0400,7.0600,0.0000
423.5599,-1556.1299,7.0400,7.0600,0.0000
423.4901,-1552.1255,7.0400,7.0600,0.0000
